"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 25 22:00:27 ICT 2023","Sat Feb 25 22:00:28 ICT 2023","768","","Kasir Demo Belajar QA: Login With Valid Login","","Kasir Demo Belajar QA: Login With Valid Login","When I click button simpan","When I click button simpan",""
"passed","Sat Feb 25 22:16:09 ICT 2023","Sat Feb 25 22:16:10 ICT 2023","823","","Kasir Demo Belajar QA: Login With invalid Login","","Kasir Demo Belajar QA: Login With invalid Login","When I click a button login","When I click a button login",""
"passed","Sat Feb 25 22:00:23 ICT 2023","Sat Feb 25 22:00:24 ICT 2023","992","","Kasir Demo Belajar QA: Login With Valid Login","","Kasir Demo Belajar QA: Login With Valid Login","When I see a dashboard url","When I see a dashboard url",""
"passed","Sat Feb 25 22:16:05 ICT 2023","Sat Feb 25 22:16:06 ICT 2023","1121","","Kasir Demo Belajar QA: Login With invalid Login","","Kasir Demo Belajar QA: Login With invalid Login","Given I am on the login page","Given I am on the login page",""
"passed","Sat Feb 25 22:10:18 ICT 2023","Sat Feb 25 22:10:18 ICT 2023","2","","Kasir Demo Belajar QA: Login With Valid Login","","Kasir Demo Belajar QA: Login With Valid Login","","",""
"passed","Sat Feb 25 22:00:25 ICT 2023","Sat Feb 25 22:00:27 ICT 2023","1888","","Kasir Demo Belajar QA: Login With Valid Login","","Kasir Demo Belajar QA: Login With Valid Login","When I Input test Add category and test deskripsi","When I Input test Add category and test deskripsi",""
"passed","Sat Feb 25 22:00:28 ICT 2023","Sat Feb 25 22:00:29 ICT 2023","459","","Kasir Demo Belajar QA: Login With Valid Login","","Kasir Demo Belajar QA: Login With Valid Login","Then I should see aitem ditambahkan","Then I should see aitem ditambahkan",""
"passed","Sat Feb 25 22:10:19 ICT 2023","Sat Feb 25 22:10:21 ICT 2023","2002","","Kasir Demo Belajar QA: Login With Valid Login","","Kasir Demo Belajar QA: Login With Valid Login","When I login with ghalasudana24@gmail.com and Ghala2022","When I login with ghalasudana24@gmail.com and Ghala2022",""
"passed","Sat Feb 25 22:10:23 ICT 2023","Sat Feb 25 22:10:23 ICT 2023","2","","Kasir Demo Belajar QA: Login With Valid Login","","Kasir Demo Belajar QA: Login With Valid Login","","",""
"passed","Sat Feb 25 22:10:22 ICT 2023","Sat Feb 25 22:10:23 ICT 2023","1100","","Kasir Demo Belajar QA: Login With Valid Login","","Kasir Demo Belajar QA: Login With Valid Login","Then I should see a dashboard url","Then I should see a dashboard url",""
"passed","Sat Feb 25 22:16:06 ICT 2023","Sat Feb 25 22:16:09 ICT 2023","2450","","Kasir Demo Belajar QA: Login With invalid Login","","Kasir Demo Belajar QA: Login With invalid Login","When I login with ghalasudana24 and Ghala2023","When I login with ghalasudana24 and Ghala2023",""
"passed","Sat Feb 25 22:10:18 ICT 2023","Sat Feb 25 22:10:19 ICT 2023","1699","","Kasir Demo Belajar QA: Login With Valid Login","","Kasir Demo Belajar QA: Login With Valid Login","Given I am on the login page","Given I am on the login page",""
"passed","Sat Feb 25 22:10:21 ICT 2023","Sat Feb 25 22:10:22 ICT 2023","675","","Kasir Demo Belajar QA: Login With Valid Login","","Kasir Demo Belajar QA: Login With Valid Login","When I click a button login","When I click a button login",""
"passed","Sat Feb 25 22:16:05 ICT 2023","Sat Feb 25 22:16:05 ICT 2023","531","","Kasir Demo Belajar QA: Login With invalid Login","","Kasir Demo Belajar QA: Login With invalid Login","Then I should see aKredensial yang Anda berikan salah","Then I should see aKredensial yang Anda berikan salah",""
"passed","Sat Feb 25 22:16:02 ICT 2023","Sat Feb 25 22:16:04 ICT 2023","2210","","Kasir Demo Belajar QA: Login With invalid Login","","Kasir Demo Belajar QA: Login With invalid Login","When I login with ghalasudana24@gmail.com and Ghala2023","When I login with ghalasudana24@gmail.com and Ghala2023",""
"passed","Sat Feb 25 22:00:24 ICT 2023","Sat Feb 25 22:00:25 ICT 2023","547","","Kasir Demo Belajar QA: Login With Valid Login","","Kasir Demo Belajar QA: Login With Valid Login","When I click category button","When I click category button",""
"passed","Sat Feb 25 22:16:05 ICT 2023","Sat Feb 25 22:16:05 ICT 2023","2","","Kasir Demo Belajar QA: Login With invalid Login","","Kasir Demo Belajar QA: Login With invalid Login","","",""
"passed","Sat Feb 25 22:16:10 ICT 2023","Sat Feb 25 22:16:10 ICT 2023","580","","Kasir Demo Belajar QA: Login With invalid Login","","Kasir Demo Belajar QA: Login With invalid Login","Then I should see a""email"" must be a valid email","Then I should see a""email"" must be a valid email",""
"passed","Sat Feb 25 22:16:10 ICT 2023","Sat Feb 25 22:16:10 ICT 2023","2","","Kasir Demo Belajar QA: Login With invalid Login","","Kasir Demo Belajar QA: Login With invalid Login","","",""
"passed","Sat Feb 25 22:15:57 ICT 2023","Sat Feb 25 22:15:59 ICT 2023","2338","","Kasir Demo Belajar QA: Login With invalid Login","","Kasir Demo Belajar QA: Login With invalid Login","When I login with ghalasudana24123@gmail.com and Ghala2022","When I login with ghalasudana24123@gmail.com and Ghala2022",""
"passed","Sat Feb 25 22:00:25 ICT 2023","Sat Feb 25 22:00:25 ICT 2023","521","","Kasir Demo Belajar QA: Login With Valid Login","","Kasir Demo Belajar QA: Login With Valid Login","When I click tambah","When I click tambah",""
